importance_weight,risk_weight,cost_reduction,total_cost
0.0,1.0,64.08646635982831,347230000.0
0.05,0.95,59.01742772922377,396240000.0
0.1,0.9,59.93070279774525,387410000.0
0.15000000000000002,0.85,59.73211977038837,389330000.0
0.2,0.8,59.583182499870716,390770000.0
0.25,0.75,58.571650204271606,400550000.0
0.30000000000000004,0.7,57.93970109117237,406660000.0
0.35000000000000003,0.6499999999999999,55.855613590525934,426810000.0
0.4,0.6,56.35413973211977,421990000.0
0.45,0.55,56.06350519729016,424800000.0
0.5,0.5,56.7254486218131,418400000.0
0.55,0.44999999999999996,53.08993121994104,453550000.0
0.6000000000000001,0.3999999999999999,53.018565444484665,454240000.0
0.65,0.35,51.90981020840874,464960000.0
0.7000000000000001,0.29999999999999993,51.426798365827175,469630000.0
0.75,0.25,51.49712985468273,468950000.0
0.8,0.19999999999999996,50.9199979314268,474530000.0
0.8500000000000001,0.1499999999999999,50.53627760252366,478240000.0
0.9,0.09999999999999998,50.59936908517351,477630000.0
0.9500000000000001,0.04999999999999993,50.59936908517351,477630000.0
1.0,0.0,52.052541759321514,463580000.0
